Base: v2010123/org.ncpdp.uml.functions/NCPDP.emx

Left Changes: org.ncpdp.uml.functions/NCPDP.emx

Unresolved |     Modify change
Unresolved |         Delete [reference] SourceOfInformationCode<Enumeration> from SourceOfInformation<Property>.type : Type
Unresolved |         Delete [reference] GenderCode<Enumeration> from Gender<Property>.type : Type
Unresolved |         Delete [reference] ResidenceCode<Enumeration> from ResidenceCode<Property>.type : Type
Unresolved |         Delete [reference] BooleanCode<Enumeration> from PregnancyIndicator<Property>.type : Type
Unresolved |         Delete [reference] BooleanCode<Enumeration> from Smoker<Property>.type : Type
Unresolved |         Delete [reference] GenderCode<Enumeration> from Gender<Property>.type : Type
Unresolved |         Delete [reference] ResidenceCode<Enumeration> from ResidenceCode<Property>.type : Type
Unresolved |         Delete [reference] BooleanCode<Enumeration> from PregnancyIndicator<Property>.type : Type
Unresolved |         Delete [reference] BooleanCode<Enumeration> from Smoker<Property>.type : Type
Unresolved |         Delete [reference] GenderCode<Enumeration> from Gender<Property>.type : Type
Unresolved |         Delete [reference] ResidenceCode<Enumeration> from ResidenceCode<Property>.type : Type
Unresolved |         Delete [reference] PayerResponsibilityCode<Enumeration> from PayerResponsibilityCode<Property>.type : Type
Unresolved |         Delete [reference] PatientRelationshipCode<Enumeration> from PatientRelationship<Property>.type : Type
Unresolved |         Delete [reference] ConsentCode<Enumeration> from Consent<Property>.type : Type
Unresolved |         Delete [reference] ServiceTypeCode<Enumeration> from ServiceTypeCoded<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] SubstitutionCode<Enumeration> from Substitutions<Property>.type : Type
Unresolved |         Delete [reference] DrugCoverageStatusCode<Enumeration> from DrugCoverageStatusCode<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationStatusCode<Enumeration> from PriorAuthorizationStatus<Property>.type : Type
Unresolved |         Delete [reference] DoNotFillCode<Enumeration> from DoNotFill<Property>.type : Type
Unresolved |         Delete [reference] OrderCaptureMethodCode<Enumeration> from OrderCaptureMethod<Property>.type : Type
Unresolved |         Delete [reference] ReasonForSubstitutionCodeUsed<Enumeration> from ReasonForSubsitutionCodeUsed<Property>.type : Type
Unresolved |         Delete [reference] IDQualifierCode<Enumeration> from IDQualifier<Property>.type : Type
Unresolved |         Delete [reference] DUEReasonForServiceCode<Enumeration> from ServiceReasonCode<Property>.type : Type
Unresolved |         Delete [reference] DUEProfessionalServiceCode<Enumeration> from ProfessionalServiceCode<Property>.type : Type
Unresolved |         Delete [reference] DUEResultOfServiceCode<Enumeration> from ServiceResultCode<Property>.type : Type
Unresolved |         Delete [reference] DUEClinicalSignificanceCode<Enumeration> from ClinicalSignificanceCode<Property>.type : Type
Unresolved |         Delete [reference] QuantityCodeListQualifierCode<Enumeration> from CodeListQualifier<Property>.type : Type
Unresolved |         Delete [reference] StateCode<Enumeration> from State<Property>.type : Type
Unresolved |         Delete [reference] PriorAuthorizationTypeCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] DUECoAgentIDQualifierCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] MeasurementDimensionCode<Enumeration> from Dimension<Property>.type : Type
Unresolved |         Delete [reference] MeasurementDataQualifierCode<Enumeration> from MeasurementDataQualifier<Property>.type : Type
Unresolved |         Delete [reference] TimeZoneIdentifierCode<Enumeration> from TimeZoneIdentifier<Property>.type : Type
Unresolved |         Delete [reference] CommunicationTypeQualifierCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] DrugDBQualifiersCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] SourceQualifierCode<Enumeration> from SourceQualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] ProductQualifiersCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] ProductQualifiersCodeExtended<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] ProblemNameQualifierCode<Enumeration> from Qualifier<Property>.type : Type
Unresolved |         Delete [reference] Code<Data Type> from Code<Property>.type : Type
Unresolved |         Delete [reference] SNOMEDCTAdverseEventCode<Enumeration> from Code<Property>.type : Type
Unresolved |         Delete [reference] AddressTypeQualifier<Enumeration> from <<attribute>>Qualifier<Property>.type : Type
Unresolved |         Delete [reference] StateCode<Enumeration> from State<Property>.type : Type
Unresolved |         Delete [reference] TransactionErrorCode<Enumeration> from Code<Property>.type : Type
Unresolved |         Delete [reference] DescriptionCode<Enumeration> from DescriptionCode<Property>.type : Type
Unresolved |         Delete [reference] StatusCode<Enumeration> from Code<Property>.type : Type
Unresolved |         Delete [reference] DescriptionCode<Enumeration> from DescriptionCode<Property>.type : Type
Unresolved |         Delete [reference] PrescriptionDeliveryMethod<Enumeration> from PrescriptionDeliveryMethod<Property>.type : Type
Unresolved |         Delete [reference] PrescriptionDeliveryMethod<Enumeration> from PrescriptionDeliveryMethod<Property>.type : Type
Unresolved |         Delete [reference] TransactionDomainVersionQualifierCode<Enumeration> from <<attribute>>TransactionDomain<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] DrugAdminReasonCode<Enumeration> from DrugAdminReasonCode<Property>.type : Type
Unresolved |         Delete [reference] LTCLevelOfChangeCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] LTCLevelOfChangeCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] DispensingRequestCode<Enumeration> from DispensingRequestCode<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] DispensingRequestCode<Enumeration> from DispensingRequestCode<Property>.type : Type
Unresolved |         Delete [reference] RxChangeCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] DispensingRequestCode<Enumeration> from DispensingRequestCode<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] DispensingRequestCode<Enumeration> from DispensingRequestCode<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] RxChangeCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] LTCLevelOfChangeCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] MessageFunctionCode<Enumeration> from MessageRequestCode<Property>.type : Type
Unresolved |         Delete [reference] ChangeOfPrescriptionStatusCode<Enumeration> from ChangeOfPrescriptionStatusFlag<Property>.type : Type
Unresolved |         Delete [reference] ReasonCode<Enumeration> from ReasonCode<Property>.type : Type
Unresolved |         Delete [reference] ReasonCode<Enumeration> from DenialReasonCode<Property>.type : Type
Unresolved |         Delete [reference] ReasonCode<Enumeration> from DenialReasonCode<Property>.type : Type
Unresolved |         Delete [reference] ReasonCode<Enumeration> from ReasonCode<Property>.type : Type
Unresolved |         Delete [reference] ReasonCode<Enumeration> from ReasonCode<Property>.type : Type
